Word,Replaced Count
abide,35
about,358
above,124
abroad,63
absence,55
abuse,46
according,24
account,45
accuse,34
acquainted,38
action,113
advantage,70
advice,43
affairs,66
affection,71
affections,40
afraid,41
after,339
afterwards,10
again,757
alive,86
almost,139
alone,232
along,108
already,139
although,37
always,59
ambition,45
ancient,72
angel,55
anger,58
another,370
answer,403
anything,100
apparel,39
appear,133
appears,21
approach,64
argument,67
armour,41
aside,130
asleep,59
assure,46
attend,103
attended,24
authority,51
avoid,34
awake,62
awhile,101
banish,116
barren,38
bastard,66
battle,117
beard,96
bearing,63
bears,102
beast,72
beaten,48
beauty,224
because,81
become,131
before,628
beggar,73
begin,102
behalf,45
behind,114
behold,119
being,548
believe,185
belike,22
below,52
benefit,39
besides,49
betray,56
better,566
between,195
beyond,43
birth,87
bishop,3
bitter,73
black,157
blame,82
bless,97
blessing,26
blest,50
blind,82
blood,660
blows,68
blunt,27
blush,52
bodies,44
bones,76
borne,80
bottom,36
bought,51
bound,171
bounty,41
brain,95
brains,19
brave,146
breast,98
breath,229
breed,47
brief,84
bright,70
bring,375
broke,84
brook,43
brother,600
brought,186
brows,45
burden,45
buried,54
burning,50
business,231
cannot,718
captain,60
cardinal,9
cares,36
carry,81
castle,52
catch,74
cause,336
cease,42
certain,167
chain,66
chair,40
challenge,47
chamber,119
chance,103
change,148
charge,197
charity,54
chaste,37
cheek,79
cheer,78
chide,45
chief,30
child,227
choice,70
church,55
citizen,5
civil,50
claim,64
clear,64
close,96
clothes,40
clouds,57
clown,16
college,3
colour,89
comes,590
comfort,174
coming,145
command,158
commanded,35
commend,58
commission,48
commit,30
common,152
companion,36
company,203
complete,19
complexion,40
condition,56
conduct,46
confess,134
conscience,119
consent,88
consider,45
constable,18
constant,48
contempt,43
content,141
contrary,47
copies,4
copyright,7
could,557
council,23
counsel,131
count,50
counterfeit,48
countess,1
country,169
courage,57
course,157
court,255
courtesy,38
cousin,236
coward,84
crave,41
creature,72
credit,51
cross,98
crown,297
cruel,71
cunning,73
curse,98
custom,43
dagger,44
damned,43
dance,68
danger,83
darkness,37
daughter,426
deadly,50
dearest,56
dearly,41
death,845
deeds,118
defend,65
degree,46
delight,55
deliver,119
demand,53
denied,52
depart,62
desert,44
deserve,59
desire,209
despair,46
desperate,50
despite,44
device,43
devil,235
devise,46
didst,145
dinner,92
discourse,28
discover,39
disgrace,46
dishonour,48
dispatch,76
displeasure,41
disposition,44
distributed,2
divine,48
doctor,34
doing,67
doors,61
double,83
doubt,162
drawn,84
dread,46
dreadful,40
dream,126
dreams,19
drink,149
drops,51
drown,82
drums,36
drunk,68
durst,45
dwell,40
dying,45
early,46
earth,313
effect,70
either,115
elbow,19
elder,43
embrace,61
emperor,17
empty,49
encounter,47
endure,73
enemies,111
enemy,167
enjoy,49
enough,291
enter,369
entertain,26
entertainment,5
entreat,106
equal,43
estate,49
eternal,37
every,456
everything,7
excellent,100
except,22
excuse,72
execution,48
exeunt,7
express,43
faces,53
faint,44
